Date,Discharge_cfps
1/1/2018,300
1/2/2018,299
1/3/2018,299
1/4/2018,298
1/5/2018,298
1/6/2018,297
1/7/2018,297
1/8/2018,296
1/9/2018,296
1/10/2018,297
1/11/2018,298
1/12/2018,299
1/13/2018,300
1/14/2018,300
1/15/2018,302
1/16/2018,302
1/17/2018,302
1/18/2018,303
1/19/2018,308
1/20/2018,309
1/21/2018,311
1/22/2018,312
1/23/2018,312
1/24/2018,311
1/25/2018,312
1/26/2018,311
1/27/2018,311
1/28/2018,310
1/29/2018,307
1/30/2018,305
1/31/2018,304
2/1/2018,303
2/2/2018,302
2/3/2018,300
2/4/2018,299
2/5/2018,297
2/6/2018,296
2/7/2018,296
2/8/2018,296
2/9/2018,296
2/10/2018,295
2/11/2018,295
2/12/2018,293
2/13/2018,292
2/14/2018,292
2/15/2018,292
2/16/2018,292
2/17/2018,292
2/18/2018,292
2/19/2018,292
2/20/2018,292
2/21/2018,292
2/22/2018,291
2/23/2018,295
2/24/2018,299
2/25/2018,295
2/26/2018,297
2/27/2018,297
2/28/2018,297
3/1/2018,297
3/2/2018,296
3/3/2018,297
3/4/2018,298
3/5/2018,298
3/6/2018,297
3/7/2018,297
3/8/2018,296
3/9/2018,297
3/10/2018,298
3/11/2018,298
3/12/2018,297
3/13/2018,295
3/14/2018,292
3/15/2018,290
3/16/2018,290
3/17/2018,289
3/18/2018,288
3/19/2018,287
3/20/2018,284
3/21/2018,283
3/22/2018,280
3/23/2018,279
3/24/2018,278
3/25/2018,278
3/26/2018,278
3/27/2018,279
3/28/2018,287
3/29/2018,291
3/30/2018,296
3/31/2018,301
4/1/2018,305
4/2/2018,316
4/3/2018,314
4/4/2018,312
4/5/2018,311
4/6/2018,310
4/7/2018,309
4/8/2018,308
4/9/2018,307
4/10/2018,306
4/11/2018,303
4/12/2018,301
4/13/2018,300
4/14/2018,298
4/15/2018,295
4/16/2018,292
4/17/2018,288
4/18/2018,286
4/19/2018,286
4/20/2018,285
4/21/2018,284
4/22/2018,283
4/23/2018,281
4/24/2018,280
4/25/2018,279
4/26/2018,278
4/27/2018,277
4/28/2018,277
4/29/2018,276
4/30/2018,276
5/1/2018,273
5/2/2018,274
5/3/2018,274
5/4/2018,276
5/5/2018,278
5/6/2018,280
5/7/2018,278
5/8/2018,277
5/9/2018,275
5/10/2018,273
5/11/2018,271
5/12/2018,271
5/13/2018,272
5/14/2018,272
5/15/2018,267
5/16/2018,267
5/17/2018,267
5/18/2018,266
5/19/2018,266
5/20/2018,266
5/21/2018,267
5/22/2018,267
5/23/2018,266
5/24/2018,266
5/25/2018,266
5/26/2018,266
5/27/2018,265
5/28/2018,265
5/29/2018,262
5/30/2018,259
5/31/2018,255
6/1/2018,252
6/2/2018,247
6/3/2018,243
6/4/2018,238
6/5/2018,234
6/6/2018,229
6/7/2018,225
6/8/2018,223
6/9/2018,222
6/10/2018,218
6/11/2018,213
6/12/2018,209
6/13/2018,205
6/14/2018,202
6/15/2018,204
6/16/2018,206
6/17/2018,206
6/18/2018,207
6/19/2018,208
6/20/2018,209
6/21/2018,210
6/22/2018,209
6/23/2018,207
6/24/2018,204
6/25/2018,202
6/26/2018,199
6/27/2018,197
6/28/2018,194
6/29/2018,193
6/30/2018,194
7/1/2018,193
7/2/2018,191
7/3/2018,190
7/4/2018,194
7/5/2018,197
7/6/2018,200
7/7/2018,206
7/8/2018,211
7/9/2018,217
7/10/2018,223
7/11/2018,230
7/12/2018,236
7/13/2018,237
7/14/2018,240
7/15/2018,238
7/16/2018,237
7/17/2018,235
7/18/2018,232
7/19/2018,229
7/20/2018,227
7/21/2018,225
7/22/2018,224
7/23/2018,222
7/24/2018,219
7/25/2018,216
7/26/2018,212
7/27/2018,208
7/28/2018,210
7/29/2018,208
7/30/2018,207
7/31/2018,204
8/1/2018,201
8/2/2018,199
8/3/2018,197
8/4/2018,197
8/5/2018,196
8/6/2018,196
8/7/2018,192
8/8/2018,189
8/9/2018,187
8/10/2018,186
8/11/2018,187
8/12/2018,188
8/13/2018,190
8/14/2018,187
8/15/2018,189
8/16/2018,187
8/17/2018,185
8/18/2018,183
8/19/2018,181
8/20/2018,180
8/21/2018,178
8/22/2018,176
8/23/2018,173
8/24/2018,171
8/25/2018,170
8/26/2018,169
8/27/2018,168
8/28/2018,167
8/29/2018,164
8/30/2018,161
8/31/2018,161
9/1/2018,162
9/2/2018,164
9/3/2018,165
9/4/2018,171
9/5/2018,179
9/6/2018,186
9/7/2018,194
9/8/2018,201
9/9/2018,211
9/10/2018,219
9/11/2018,229
9/12/2018,238
9/13/2018,248
9/14/2018,253
9/15/2018,258
9/16/2018,264
9/17/2018,269
9/18/2018,275
9/19/2018,276
9/20/2018,280
9/21/2018,284
9/22/2018,288
9/23/2018,292
9/24/2018,296
9/25/2018,300
9/26/2018,309
9/27/2018,309
9/28/2018,313
9/29/2018,314
9/30/2018,316
10/1/2018,317
10/2/2018,319
10/3/2018,319
10/4/2018,320
10/5/2018,321
10/6/2018,323
10/7/2018,327
10/8/2018,332
10/9/2018,333
10/10/2018,333
10/11/2018,334
10/12/2018,329
10/13/2018,329
10/14/2018,331
10/15/2018,334
10/16/2018,337
10/17/2018,340
10/18/2018,343
10/19/2018,347
10/20/2018,350
10/21/2018,354
10/22/2018,352
10/23/2018,354
10/24/2018,356
10/25/2018,358
10/26/2018,360
10/27/2018,362
10/28/2018,362
10/29/2018,361
10/30/2018,359
10/31/2018,361
11/1/2018,364
11/2/2018,366
11/3/2018,362
11/4/2018,364
11/5/2018,367
11/6/2018,369
11/7/2018,368
11/8/2018,368
11/9/2018,369
11/10/2018,374
11/11/2018,370
11/12/2018,368
11/13/2018,367
11/14/2018,365
11/15/2018,364
11/16/2018,363
11/17/2018,363
11/18/2018,363
11/19/2018,362
11/20/2018,362
11/21/2018,360
11/22/2018,360
11/23/2018,361
11/24/2018,360
11/25/2018,360
11/26/2018,359
11/27/2018,356
11/28/2018,356
11/29/2018,357
11/30/2018,358
12/1/2018,359
12/2/2018,360
12/3/2018,361
12/4/2018,361
12/5/2018,362
12/6/2018,365
12/7/2018,369
