Date,Discharge_cfps
1/1/2018,165
1/2/2018,163
1/3/2018,164
1/4/2018,164
1/5/2018,165
1/6/2018,164
1/7/2018,164
1/8/2018,164
1/9/2018,164
1/10/2018,164
1/11/2018,164
1/12/2018,164
1/13/2018,164
1/14/2018,163
1/15/2018,163
1/16/2018,162
1/17/2018,165
1/18/2018,165
1/19/2018,166
1/20/2018,166
1/21/2018,166
1/22/2018,166
1/23/2018,166
1/24/2018,166
1/25/2018,166
1/26/2018,167
1/27/2018,167
1/28/2018,168
1/29/2018,167
1/30/2018,167
1/31/2018,167
2/1/2018,167
2/2/2018,167
2/3/2018,168
2/4/2018,168
2/5/2018,167
2/6/2018,166
2/7/2018,166
2/8/2018,167
2/9/2018,167
2/10/2018,166
2/11/2018,166
2/12/2018,165
2/13/2018,165
2/14/2018,165
2/15/2018,164
2/16/2018,164
2/17/2018,164
2/18/2018,165
2/19/2018,164
2/20/2018,163
2/21/2018,162
2/22/2018,162
2/23/2018,162
2/24/2018,162
2/25/2018,162
2/26/2018,161
2/27/2018,160
2/28/2018,159
3/1/2018,158
3/2/2018,158
3/3/2018,158
3/4/2018,159
3/5/2018,159
3/6/2018,158
3/7/2018,158
3/8/2018,158
3/9/2018,157
3/10/2018,157
3/11/2018,156
3/12/2018,156
3/13/2018,156
3/14/2018,155
3/15/2018,155
3/16/2018,154
3/17/2018,154
3/18/2018,154
3/19/2018,153
3/20/2018,152
3/21/2018,151
3/22/2018,151
3/23/2018,152
3/24/2018,152
3/25/2018,153
3/26/2018,152
3/27/2018,153
3/28/2018,167
3/29/2018,170
3/30/2018,177
3/31/2018,184
4/1/2018,191
4/2/2018,191
4/3/2018,192
4/4/2018,192
4/5/2018,192
4/6/2018,192
4/7/2018,191
4/8/2018,190
4/9/2018,189
4/10/2018,188
4/11/2018,187
4/12/2018,186
4/13/2018,184
4/14/2018,182
4/15/2018,181
4/16/2018,180
4/17/2018,178
4/18/2018,177
4/19/2018,177
4/20/2018,177
4/21/2018,177
4/22/2018,176
4/23/2018,176
4/24/2018,175
4/25/2018,175
4/26/2018,175
4/27/2018,174
4/28/2018,174
4/29/2018,173
4/30/2018,172
5/1/2018,172
5/2/2018,172
5/3/2018,171
5/4/2018,174
5/5/2018,178
5/6/2018,181
5/7/2018,182
5/8/2018,184
5/9/2018,182
5/10/2018,181
5/11/2018,182
5/12/2018,182
5/13/2018,180
5/14/2018,179
5/15/2018,178
5/16/2018,178
5/17/2018,179
5/18/2018,179
5/19/2018,178
5/20/2018,178
5/21/2018,177
5/22/2018,176
5/23/2018,176
5/24/2018,175
5/25/2018,172
5/26/2018,170
5/27/2018,167
5/28/2018,165
5/29/2018,161
5/30/2018,159
5/31/2018,157
6/1/2018,155
6/2/2018,154
6/3/2018,152
6/4/2018,150
6/5/2018,149
6/6/2018,147
6/7/2018,145
6/8/2018,144
6/9/2018,143
6/10/2018,141
6/11/2018,138
6/12/2018,136
6/13/2018,134
6/14/2018,135
6/15/2018,137
6/16/2018,139
6/17/2018,139
6/18/2018,141
6/19/2018,141
6/20/2018,141
6/21/2018,141
6/22/2018,142
6/23/2018,144
6/24/2018,146
6/25/2018,146
6/26/2018,146
6/27/2018,146
6/28/2018,146
6/29/2018,145
6/30/2018,144
7/1/2018,144
7/2/2018,142
7/3/2018,141
7/4/2018,141
7/5/2018,140
7/6/2018,140
7/7/2018,139
7/8/2018,138
7/9/2018,144
7/10/2018,150
7/11/2018,155
7/12/2018,162
7/13/2018,162
7/14/2018,161
7/15/2018,161
7/16/2018,159
